6/8/1994,Not Available,Not Available,"4,605,625,636,684.88"
6/9/1994,Not Available,Not Available,"4,601,856,248,523.77"
6/10/1994,Not Available,Not Available,"4,603,988,548,096.54"
6/13/1994,Not Available,Not Available,"4,604,542,562,566.93"
6/14/1994,Not Available,Not Available,"4,605,761,962,704.33"
6/15/1994,Not Available,Not Available,"4,607,232,272,443.64"
6/16/1994,Not Available,Not Available,"4,592,643,332,050.47"
6/17/1994,Not Available,Not Available,"4,591,908,053,316.92"
6/20/1994,Not Available,Not Available,"4,592,530,655,789.90"
6/21/1994,Not Available,Not Available,"4,594,504,756,753.85"
6/22/1994,Not Available,Not Available,"4,597,074,632,951.03"
6/23/1994,Not Available,Not Available,"4,598,157,611,751.62"
6/24/1994,Not Available,Not Available,"4,600,321,064,126.02"
6/27/1994,Not Available,Not Available,"4,601,447,421,459.43"
6/28/1994,Not Available,Not Available,"4,603,689,750,246.51"
6/29/1994,Not Available,Not Available,"4,604,969,673,918.82"
6/30/1994,Not Available,Not Available,"4,645,801,898,177.58"
7/1/1994,Not Available,Not Available,"4,626,913,964,549.58"
7/5/1994,Not Available,Not Available,"4,627,743,677,493.56"
7/6/1994,Not Available,Not Available,"4,628,084,320,614.18"
7/7/1994,Not Available,Not Available,"4,623,725,224,671.35"
7/8/1994,Not Available,Not Available,"4,618,832,031,822.90"
7/11/1994,Not Available,Not Available,"4,620,363,003,746.37"
7/12/1994,Not Available,Not Available,"4,621,828,111,034.37"
7/13/1994,Not Available,Not Available,"4,624,337,130,856.67"
7/14/1994,Not Available,Not Available,"4,624,995,772,750.82"
7/15/1994,Not Available,Not Available,"4,624,151,825,603.72"
7/18/1994,Not Available,Not Available,"4,624,283,138,985.72"
7/19/1994,Not Available,Not Available,"4,625,471,848,736.48"
7/20/1994,Not Available,Not Available,"4,626,395,216,597.95"
7/21/1994,Not Available,Not Available,"4,628,451,509,457.37"
7/22/1994,Not Available,Not Available,"4,629,650,492,223.25"
7/25/1994,Not Available,Not Available,"4,631,353,530,795.77"
7/26/1994,Not Available,Not Available,"4,632,296,732,963.69"
7/27/1994,Not Available,Not Available,"4,634,714,547,116.98"
7/28/1994,Not Available,Not Available,"4,638,859,244,759.68"
7/29/1994,Not Available,Not Available,"4,636,361,778,400.62"
8/1/1994,Not Available,Not Available,"4,646,032,422,560.35"
8/2/1994,Not Available,Not Available,"4,648,620,283,828.45"
8/3/1994,Not Available,Not Available,"4,640,189,985,631.40"
8/4/1994,Not Available,Not Available,"4,643,454,831,491.69"
8/5/1994,Not Available,Not Available,"4,646,465,314,008.39"
8/8/1994,Not Available,Not Available,"4,644,723,889,704.80"
8/9/1994,Not Available,Not Available,"4,641,220,157,276.19"
8/10/1994,Not Available,Not Available,"4,644,509,290,127.79"
8/11/1994,Not Available,Not Available,"4,654,161,184,155.52"
8/12/1994,Not Available,Not Available,"4,645,748,084,784.22"
8/15/1994,Not Available,Not Available,"4,666,432,889,364.19"
8/16/1994,Not Available,Not Available,"4,667,394,077,182.19"
8/17/1994,Not Available,Not Available,"4,668,682,813,919.54"
8/18/1994,Not Available,Not Available,"4,670,703,740,629.23"
8/19/1994,Not Available,Not Available,"4,671,523,175,439.78"
8/22/1994,Not Available,Not Available,"4,672,637,285,384.26"
8/23/1994,Not Available,Not Available,"4,674,171,453,528.20"
8/24/1994,Not Available,Not Available,"4,676,085,711,642.38"
8/25/1994,Not Available,Not Available,"4,676,656,525,304.23"
8/26/1994,Not Available,Not Available,"4,677,400,450,613.70"
8/29/1994,Not Available,Not Available,"4,677,964,690,032.83"
8/30/1994,Not Available,Not Available,"4,678,494,437,271.59"
8/31/1994,Not Available,Not Available,"4,691,991,360,873.49"
9/1/1994,Not Available,Not Available,"4,685,830,467,765.89"
9/2/1994,Not Available,Not Available,"4,675,955,137,914.09"
9/6/1994,Not Available,Not Available,"4,683,566,734,793.49"
9/7/1994,Not Available,Not Available,"4,683,503,948,591.25"
9/8/1994,Not Available,Not Available,"4,679,340,393,862.28"
9/9/1994,Not Available,Not Available,"4,679,665,237,940.93"
9/12/1994,Not Available,Not Available,"4,680,078,443,187.46"
9/13/1994,Not Available,Not Available,"4,681,594,117,770.50"
9/14/1994,Not Available,Not Available,"4,683,788,161,664.83"
9/15/1994,Not Available,Not Available,"4,683,900,250,184.36"
9/16/1994,Not Available,Not Available,"4,681,046,608,542.73"
9/19/1994,Not Available,Not Available,"4,682,002,443,828.35"
9/20/1994,Not Available,Not Available,"4,683,866,175,111.68"
9/21/1994,Not Available,Not Available,"4,685,968,520,515.35"
9/22/1994,Not Available,Not Available,"4,666,416,745,637.56"
9/23/1994,Not Available,Not Available,"4,667,471,330,077.67"
9/26/1994,Not Available,Not Available,"4,668,220,908,307.74"
9/27/1994,Not Available,Not Available,"4,670,105,589,039.37"
9/28/1994,Not Available,Not Available,"4,672,476,525,565.65"
9/29/1994,Not Available,Not Available,"4,669,822,761,500.75"
9/30/1994,Not Available,Not Available,"4,692,749,910,013.32"
10/3/1994,Not Available,Not Available,"4,686,470,224,029.22"
10/4/1994,Not Available,Not Available,"4,692,027,127,611.35"
10/5/1994,Not Available,Not Available,"4,692,972,690,839.51"
10/6/1994,Not Available,Not Available,"4,690,448,546,845.94"
10/7/1994,Not Available,Not Available,"4,684,785,137,237.74"
10/11/1994,Not Available,Not Available,"4,685,664,185,141.19"
10/12/1994,Not Available,Not Available,"4,686,726,849,470.32"
10/13/1994,Not Available,Not Available,"4,690,873,758,923.63"
10/14/1994,Not Available,Not Available,"4,691,919,831,834.43"
